texto,categoria,criterio,formato
dame los personas en formato pdf.,clientes,todos,pdf
En formato excel dame los peticiones vencido,tramites,atrasados,excel
Descargar reporte de solicitantes resuelto en documento word,clientes,completados,word
Obtener reporte de trámite en excel.,tramites,todos,excel
Necesito el reporte de ciudadanos en formato pdf,clientes,todos,pdf
Generar un reporte de casos sin terminar en excel,tramites,pendientes,excel
Podrías generarme un reporte de usuarios global en en excel,usuarios,todos,excel
Exportar a formato pdf los operador,usuarios,todos,pdf
En pantalla quiero el reporte de solicitudes tardíos.,tramites,atrasados,pantalla
Dame los flujos de trabajo pendientes en formato archivo pdf,tramites,pendientes,pdf
Hazme un reporte de casos vencido en archivo pdf,tramites,atrasados,pdf
Podrías generarme un reporte de personas aprobado en en word,clientes,completados,word
Quiero un reporte de archivos completo en formato word.,documentos,todos,word
Generar un reporte de cliente en mostrar,clientes,todos,pantalla
generar un reporte de solicitantes en formato word,clientes,todos,word
Quiero un reporte de diagramas en documento editable,politicas,todos,word
Exportar a docx los diagramas de actividad todos,politicas,todos,word
En formato consola dame los clientes activos,clientes,pendientes,pantalla
Necesito exportar a en excel el listado de solicitante sin terminar,clientes,pendientes,excel
Generar un reporte de políticas atrasado en pdf,politicas,atrasados,pdf
Muéstrame un reporte de funcionario activo en hoja excel,usuarios,pendientes,excel
Lista solicitantes excel,clientes,todos,excel
Necesito exportar a formato excel el listado de diagramas total,politicas,todos,excel
En vista previa quiero el reporte de flujos de trabajo en curso,tramites,pendientes,pantalla
¿es posible obtener los clientes en proceso en en pantalla?.,clientes,pendientes,pantalla
¿cómo puedo ver el reporte de archivos completado en mostrar?,documentos,completados,pantalla
Descargar en json el reporte de cliente con retraso!,clientes,atrasados,pantalla
Dame los funcionario en formato en pdf,usuarios,todos,pdf
GENERAR UN REPORTE DE USUARIOS FINALES ATRASADOS EN DOCX,clientes,atrasados,word
Hazme un reporte de personas total en formato portable,clientes,todos,pdf
Descargar en archivo excel el reporte de solicitantes terminados,clientes,completados,excel
necesito exportar a pdf el listado de trámites finalizados,tramites,completados,pdf
¿es posible obtener los casos atrasados en formato portable?,tramites,atrasados,pdf
Por favor genera un reporte de usuarios finales completado en pdf.,clientes,completados,pdf
Dame los flujos de trabajo demorado en formato formato pdf,tramites,atrasados,pdf
Dame los papeles total en formato formato excel.,documentos,todos,excel
Crear reporte de adjuntos resuelto en xlsx,documentos,completados,excel
Listado ficheros en curso formato json,documentos,pendientes,pantalla
dame los peticiones finalizados en formato word,tramites,completados,word
Sácame un reporte de clientes atrasado en en pantalla,clientes,atrasados,pantalla
Datos operador completo en word,usuarios,todos,word
Muéstrame un reporte de reglas en documento pdf,politicas,todos,pdf
Quiero un reporte de cliente global en en excel,clientes,todos,excel
En formato documento editable dame los documentos global!,documentos,todos,word
Descargar reporte de solicitantes en word,clientes,todos,word
En consola quiero el reporte de papeles en curso,documentos,pendientes,pantalla
Descargar reporte de funcionarios en archivo word.,usuarios,todos,word
Crear reporte de empleados en curso en archivo word,usuarios,pendientes,word
Sácame un reporte de documento completados en vista previa,documentos,completados,pantalla
¿es posible obtener los personal completo en archivo word?,usuarios,todos,word
Obtener reporte de política en archivo excel,politicas,todos,excel
lista adjuntos aprobado documento pdf,documentos,completados,pdf
Generar un reporte de papeles finalizado en formato pdf,documentos,completados,pdf
Descargar en formato json el reporte de empleado resuelto,usuarios,completados,pantalla
Crear reporte de casos en archivo pdf,tramites,todos,pdf
quiero un reporte de trámite finalizados en documento word,tramites,completados,word
¿cómo puedo ver el reporte de adjuntos lista completa en vista previa?,documentos,todos,pantalla
quiero un reporte de usuarios finales finalizados en hoja de cálculo,clientes,completados,excel
En formato documento pdf dame los operadores completo.,usuarios,todos,pdf
Por favor genera un reporte de personal completados en formato portable,usuarios,completados,pdf
Obtener reporte de fichero sin terminar en en pdf,documentos,pendientes,pdf
Exportar a visualizar los política de negocio cualquiera,politicas,todos,pantalla
necesito el reporte de documentos demorado en documento pdf,documentos,atrasados,pdf
generar un reporte de requisitos en formato word,documentos,todos,word
Exportar a pdf los cliente con demora,clientes,atrasados,pdf
Generar un reporte de funcionario en progreso en formato json,usuarios,pendientes,pantalla
Descargar en hoja de cálculo el reporte de política total,politicas,todos,excel
Necesito el reporte de trámite lista completa en visualizar,tramites,todos,pantalla
Dame los reglas de negocio terminado en formato en excel,politicas,completados,excel
En formato documento editable dame los documentos demorado,documentos,atrasados,word
Lista funcionarios vista previa,usuarios,todos,pantalla
Dame los peticiones atrasados en formato archivo pdf,tramites,atrasados,pdf
Descargar en formato pdf el reporte de clientes sin terminar,clientes,pendientes,pdf
Reporte trámites terminados formato pdf,tramites,completados,pdf
Obtener reporte de trámite atrasados en visualizar,tramites,atrasados,pantalla
Podrías generarme un reporte de operador completado en formato portable!,usuarios,completados,pdf
Muéstrame un reporte de cliente todos en pantalla,clientes,todos,pantalla
Dame los ficheros en formato formato pdf.,documentos,todos,pdf
sácame un reporte de política todos en json,politicas,todos,pantalla
Quiero un reporte de empleado en hoja de cálculo,usuarios,todos,excel
necesito el reporte de personal en en pantalla,usuarios,todos,pantalla
Podrías generarme un reporte de clientes completo en archivo excel,clientes,todos,excel
Quiero un reporte de diagramas de actividad en hoja excel,politicas,todos,excel
¿es posible obtener los política de negocio demorado en formato word?,politicas,atrasados,word
Podrías generarme un reporte de adjuntos pendiente en documento pdf,documentos,pendientes,pdf
Quiero un reporte de funcionario pendientes en pdf,usuarios,pendientes,pdf
generar un reporte de trámites en en pantalla,tramites,todos,pantalla
DESCARGAR REPORTE DE USUARIOS EN PANTALLA,usuarios,todos,pantalla
Descargar reporte de personas en en pantalla,clientes,todos,pantalla
Necesito exportar a word el listado de solicitudes todas,tramites,todos,word
Lista usuarios json,usuarios,todos,pantalla
En formato en word dame los políticas tardíos,politicas,atrasados,word
OBTENER REPORTE DE FUNCIONARIOS EN FORMATO PDF,usuarios,todos,pdf
¿es posible obtener los ficheros lista completa en formato pdf?,documentos,todos,pdf
Quiero un reporte de trámite demorados en formato excel!,tramites,atrasados,excel
Lista diagramas de actividad aprobado pdf.,politicas,completados,pdf
Necesito exportar a archivo word el listado de flujos de trabajo aprobados,tramites,completados,word
datos cliente demorado formato pdf.,clientes,atrasados,pdf
exportar a archivo pdf los solicitudes,tramites,todos,pdf
Obtener reporte de personas en en excel,clientes,todos,excel
Muéstrame un reporte de peticiones procesando en xlsx.,tramites,pendientes,excel
quiero un reporte de fichero en json,documentos,todos,pantalla
Quiero exportar en archivo word las flujos de trabajo en proceso,tramites,pendientes,word
Descargar reporte de usuarios finales en hoja de cálculo.,clientes,todos,excel
Lista peticiones atrasados hoja de cálculo,tramites,atrasados,excel
Hazme un reporte de operador resueltos en en word,usuarios,completados,word
¿es posible obtener los reglas pendiente en vista previa?.,politicas,pendientes,pantalla
¿cómo puedo ver el reporte de personal finalizado en documento word?,usuarios,completados,word
Descargar en formato word el reporte de empleados global,usuarios,todos,word
Exportar a documento word los personal procesando,usuarios,pendientes,word
Descargar reporte de empleado en formato excel,usuarios,todos,excel
reporte solicitantes resuelto excel,clientes,completados,excel
Lista flujos de trabajo en proceso archivo word,tramites,pendientes,word
crear reporte de solicitante vencidos en en pantalla,clientes,atrasados,pantalla
lista trámites tardíos archivo word,tramites,atrasados,word
Lista trámites con retraso archivo pdf,tramites,atrasados,pdf
¿cómo puedo ver el reporte de funcionarios completados en archivo excel?,usuarios,completados,excel
Lista políticas con demora formato excel,politicas,atrasados,excel
descargar reporte de archivos general en hoja de cálculo,documentos,todos,excel
Obtener reporte de cliente todas en hoja excel,clientes,todos,excel
Descargar reporte de reglas de negocio en formato portable!,politicas,todos,pdf
Muéstrame un reporte de política completo en ver,politicas,todos,pantalla
Necesito exportar a documento word el listado de fichero en curso,documentos,pendientes,word
QUISIERA VER LA LISTA DE FLUJOS DE TRABAJO PENDIENTES Y BAJARLA EN DOCUMENTO PDF,tramites,pendientes,pdf
Lista solicitantes con retraso mostrar,clientes,atrasados,pantalla
quiero exportar en pdf las diagramas de actividad sin terminar.,politicas,pendientes,pdf
dame los políticas en formato documento word,politicas,todos,word
Muéstrame un reporte de ficheros en progreso en formato json.,documentos,pendientes,pantalla
Quiero un reporte de requisitos finalizados en mostrar,documentos,completados,pantalla
Muéstrame un reporte de solicitudes en hoja excel,tramites,todos,excel
Crear reporte de fichero en en pdf,documentos,todos,pdf
Sácame un reporte de archivos demorados en mostrar,documentos,atrasados,pantalla
hazme un reporte de casos pendientes en excel,tramites,pendientes,excel
Generar un reporte de personas en en pantalla,clientes,todos,pantalla
Sácame un reporte de cliente pendiente en archivo pdf,clientes,pendientes,pdf
Quiero un reporte de empleado aprobado en formato pdf,usuarios,completados,pdf
Quiero un reporte de diagramas de actividad activos en docx,politicas,pendientes,word
Dame los solicitante finalizados en formato en excel,clientes,completados,excel
necesito el reporte de operador en formato word,usuarios,todos,word
Datos procesos completo formato pdf,tramites,todos,pdf
Exportar a formato pdf los políticas de negocio,politicas,todos,pdf
Exportar a documento editable los empleado,usuarios,todos,word
Dame los política de negocio en formato en pdf,politicas,todos,pdf
NECESITO EL REPORTE DE FICHEROS VENCIDOS EN MOSTRAR,documentos,atrasados,pantalla
Reporte requisitos cualquiera archivo excel,documentos,todos,excel
Muéstrame un reporte de peticiones en mostrar,tramites,todos,pantalla
Lista ciudadanos documento word,clientes,todos,word
Quiero un reporte de funcionario activos en documento editable,usuarios,pendientes,word
Podrías generarme un reporte de ciudadanos fuera de plazo en word,clientes,atrasados,word
Sácame un reporte de personas procesando en archivo pdf,clientes,pendientes,pdf
Necesito el reporte de documento en pantalla,documentos,todos,pantalla
Descargar reporte de empleados en documento pdf,usuarios,todos,pdf
¿cómo puedo ver el reporte de archivos terminado en xlsx?,documentos,completados,excel
dame los flujos de trabajo pendiente en formato ver,tramites,pendientes,pantalla
¿es posible obtener los usuarios finalizados en en pdf?.,usuarios,completados,pdf
descargar reporte de peticiones en en excel,tramites,todos,excel
Reporte políticas aprobado archivo excel,politicas,completados,excel
En formato portable quiero el reporte de requisitos terminado,documentos,completados,pdf
Exportar a en pantalla los funcionario total,usuarios,todos,pantalla
Podrías generarme un reporte de políticas vencido en xlsx,politicas,atrasados,excel
Datos requisitos todas formato json!,documentos,todos,pantalla
Necesito el reporte de fichero todas en excel,documentos,todos,excel
¿cómo puedo ver el reporte de solicitante lista completa en documento editable?,clientes,todos,word
Obtener reporte de política de negocio activo en documento pdf,politicas,pendientes,pdf
Necesito el reporte de archivo lista completa en en word,documentos,todos,word
Descargar en archivo pdf el reporte de usuario aprobado,usuarios,completados,pdf
Muéstrame un reporte de política en pantalla,politicas,todos,pantalla
Muéstrame un reporte de solicitantes atrasados en en word,clientes,atrasados,word
Datos política en proceso documento word,politicas,pendientes,word
quiero exportar en formato json las reglas de negocio completados,politicas,completados,pantalla
REPORTE CIUDADANOS ARCHIVO PDF,clientes,todos,pdf
Listado funcionario tardíos formato json,usuarios,atrasados,pantalla
¿es posible obtener los usuarios en curso en excel?.,usuarios,pendientes,excel
Quiero un reporte de ficheros en hoja de cálculo,documentos,todos,excel
Generar un reporte de usuario finalizados en pdf,usuarios,completados,pdf
Crear reporte de operador en pdf,usuarios,todos,pdf
En formato en pdf dame los reglas completado,politicas,completados,pdf
En en pdf quiero el reporte de política de negocio demorados,politicas,atrasados,pdf
Crear reporte de operadores en word,usuarios,todos,word
Muéstrame un reporte de ciudadanos en archivo excel!,clientes,todos,excel
Sácame un reporte de usuarios finales sin terminar en pdf,clientes,pendientes,pdf
Exportar a archivo excel los ciudadanos,clientes,todos,excel
Necesito exportar a en pdf el listado de políticas de negocio hechos,politicas,completados,pdf
Hazme un reporte de casos terminados en hoja excel,tramites,completados,excel
DATOS DIAGRAMAS TERMINADOS FORMATO PORTABLE,politicas,completados,pdf
Reporte procesos pendiente pdf,tramites,pendientes,pdf
Lista políticas de negocio hoja de cálculo.,politicas,todos,excel
Necesito el reporte de políticas aprobados en documento editable.,politicas,completados,word
generar un reporte de funcionarios completado en pdf,usuarios,completados,pdf
necesito exportar a archivo word el listado de política de negocio con demora,politicas,atrasados,word
Crear reporte de trámite en ver,tramites,todos,pantalla
Exportar a consola los política pendientes,politicas,pendientes,pantalla
Crear reporte de ficheros total en mostrar!,documentos,todos,pantalla
Por favor genera un reporte de casos total en formato excel,tramites,todos,excel
Necesito el reporte de archivo activos en formato portable,documentos,pendientes,pdf
Generar un reporte de casos atrasado en hoja excel,tramites,atrasados,excel
Exportar a formato word los flujos de trabajo,tramites,todos,word
Descargar reporte de archivo en en word,documentos,todos,word
Exportar a en pdf los papeles tardíos,documentos,atrasados,pdf
Muéstrame un reporte de ciudadanos en visualizar,clientes,todos,pantalla
Quiero exportar en vista previa las empleados lista completa,usuarios,todos,pantalla
Sácame un reporte de clientes activo en formato excel,clientes,pendientes,excel
Listado usuario todas formato pdf,usuarios,todos,pdf
¿cómo puedo ver el reporte de políticas de negocio en progreso en pantalla?,politicas,pendientes,pantalla
Necesito el reporte de clientes en formato excel,clientes,todos,excel
Descargar en archivo pdf el reporte de diagramas de actividad aprobado,politicas,completados,pdf
Quiero un reporte de archivo aprobados en formato json,documentos,completados,pantalla
Descargar reporte de flujos de trabajo procesando en visualizar,tramites,pendientes,pantalla
Generar un reporte de documento pendientes en documento word,documentos,pendientes,word
crear reporte de solicitantes activos en archivo pdf,clientes,pendientes,pdf
Generar un reporte de ficheros tardíos en ver,documentos,atrasados,pantalla
lista personal con demora formato pdf,usuarios,atrasados,pdf
Lista políticas pendientes formato portable!,politicas,pendientes,pdf
muéstrame un reporte de archivo en hoja de cálculo!,documentos,todos,excel
Muéstrame un reporte de requisitos finalizados en formato word,documentos,completados,word
exportar a ver los trámites pendiente,tramites,pendientes,pantalla
Reporte papeles documento editable,documentos,todos,word
Quiero un reporte de solicitantes resuelto en docx,clientes,completados,word
Reporte trámites formato excel,tramites,todos,excel
Por favor genera un reporte de política de negocio procesando en formato pdf,politicas,pendientes,pdf
Obtener reporte de procesos procesando en archivo pdf,tramites,pendientes,pdf
Obtener reporte de cliente general en formato excel.,clientes,todos,excel
Lista diagramas demorados formato word.,politicas,atrasados,word
¿cómo puedo ver el reporte de peticiones atrasados en pdf?,tramites,atrasados,pdf
sácame un reporte de papeles cualquiera en formato portable!,documentos,todos,pdf
Crear reporte de requisitos en word,documentos,todos,word
Muéstrame un reporte de papeles cualquiera en documento editable,documentos,todos,word
NECESITO EL REPORTE DE FLUJOS DE TRABAJO EN FORMATO JSON.,tramites,todos,pantalla
Sácame un reporte de empleado sin terminar en visualizar,usuarios,pendientes,pantalla
Quiero exportar en formato json las trámite activo.,tramites,pendientes,pantalla
obtener reporte de usuarios en pantalla,usuarios,todos,pantalla
por favor genera un reporte de políticas de negocio cualquiera en docx.,politicas,todos,word
Lista peticiones word,tramites,todos,word
Hazme un reporte de archivo cualquiera en mostrar,documentos,todos,pantalla
Listado archivos en curso archivo pdf,documentos,pendientes,pdf
Quiero un reporte de funcionarios en docx,usuarios,todos,word
Muéstrame un reporte de solicitantes en pdf,clientes,todos,pdf
LISTADO CIUDADANOS SIN TERMINAR DOCUMENTO EDITABLE,clientes,pendientes,word
Quiero un reporte de empleados finalizado en hoja excel,usuarios,completados,excel
Lista usuario xlsx,usuarios,todos,excel
Dame los fichero todos en formato en pdf,documentos,todos,pdf
Quiero exportar en en word las empleado pendiente.,usuarios,pendientes,word
Descargar en pantalla el reporte de políticas cualquiera,politicas,todos,pantalla
Necesito el reporte de archivo todos en en word,documentos,todos,word
Crear reporte de diagramas de actividad en en word,politicas,todos,word
Quiero un reporte de trámite atrasados en hoja excel,tramites,atrasados,excel
Descargar reporte de diagramas de actividad en en excel,politicas,todos,excel
quisiera ver la lista de solicitante con retraso y bajarla en archivo excel,clientes,atrasados,excel
Quiero exportar en formato pdf las solicitudes terminados,tramites,completados,pdf
crear reporte de ciudadanos en xlsx,clientes,todos,excel
Exportar a docx los trámites.,tramites,todos,word
Necesito el reporte de funcionario en en word.,usuarios,todos,word
Descargar en excel el reporte de flujos de trabajo atrasados,tramites,atrasados,excel
muéstrame un reporte de solicitante en formato portable,clientes,todos,pdf
Necesito el reporte de fichero en documento editable,documentos,todos,word
Reporte usuarios finales general archivo excel,clientes,todos,excel
Necesito exportar a json el listado de política con retraso,politicas,atrasados,pantalla
Sácame un reporte de archivo general en formato portable,documentos,todos,pdf
Muéstrame un reporte de solicitudes con demora en formato word!,tramites,atrasados,word
Quiero un reporte de solicitante en formato excel,clientes,todos,excel
Reporte personal formato pdf,usuarios,todos,pdf
Datos ficheros completados archivo pdf,documentos,completados,pdf
Podrías generarme un reporte de archivo fuera de plazo en hoja excel,documentos,atrasados,excel
Generar un reporte de solicitudes en formato pdf,tramites,todos,pdf
Quiero exportar en formato excel las solicitantes procesando,clientes,pendientes,excel
Listado personal pendientes hoja excel,usuarios,pendientes,excel
Podrías generarme un reporte de procesos pendientes en formato json,tramites,pendientes,pantalla
Muéstrame un reporte de operadores con retraso en consola,usuarios,atrasados,pantalla
¿es posible obtener los peticiones procesando en hoja de cálculo?,tramites,pendientes,excel
Crear reporte de funcionario en hoja excel,usuarios,todos,excel
Crear reporte de documentos en formato excel,documentos,todos,excel
Obtener reporte de solicitudes demorado en visualizar,tramites,atrasados,pantalla
lista flujos de trabajo tardíos pdf.,tramites,atrasados,pdf
Descargar en formato json el reporte de operadores demorados,usuarios,atrasados,pantalla
Quiero un reporte de casos terminados en hoja de cálculo,tramites,completados,excel
Quiero un reporte de casos en hoja excel,tramites,todos,excel
Muéstrame un reporte de flujos de trabajo todos en ver,tramites,todos,pantalla
Muéstrame un reporte de política en formato pdf,politicas,todos,pdf
Reporte requisitos en word,documentos,todos,word
Crear reporte de archivos atrasados en documento pdf,documentos,atrasados,pdf
hazme un reporte de operador procesando en en pantalla.,usuarios,pendientes,pantalla
En word quiero el reporte de reglas de negocio resuelto,politicas,completados,word
Dame los diagramas de actividad fuera de plazo en formato en pdf,politicas,atrasados,pdf
Crear reporte de solicitante en formato excel.,clientes,todos,excel
Descargar en visualizar el reporte de adjuntos demorados,documentos,atrasados,pantalla
Reporte funcionario mostrar,usuarios,todos,pantalla
DAME LOS EMPLEADO EN FORMATO ARCHIVO PDF,usuarios,todos,pdf
Dame los solicitante sin filtros en formato formato portable,clientes,todos,pdf
podrías generarme un reporte de documentos vencidos en archivo word,documentos,atrasados,word
¿es posible obtener los operadores sin terminar en pdf?,usuarios,pendientes,pdf
Por favor genera un reporte de política de negocio pendiente en archivo pdf,politicas,pendientes,pdf
Reporte flujos de trabajo archivo excel.,tramites,todos,excel
Quiero exportar en archivo pdf las fichero pendientes,documentos,pendientes,pdf
Crear reporte de empleados en hoja de cálculo.,usuarios,todos,excel
Quisiera ver la lista de usuarios sin filtros y bajarla en visualizar,usuarios,todos,pantalla
Hazme un reporte de clientes en proceso en hoja de cálculo.,clientes,pendientes,excel
Necesito el reporte de solicitante en ver,clientes,todos,pantalla
exportar a en pantalla los usuarios,usuarios,todos,pantalla
Hazme un reporte de usuarios con retraso en documento editable,usuarios,atrasados,word
¿es posible obtener los procesos tardíos en xlsx?,tramites,atrasados,excel
Listado cliente completo hoja excel,clientes,todos,excel
Descargar reporte de política finalizado en formato json.,politicas,completados,pantalla
Hazme un reporte de operador en progreso en documento word,usuarios,pendientes,word
crear reporte de documento en documento editable!,documentos,todos,word
Quiero un reporte de ciudadanos resueltos en en pantalla,clientes,completados,pantalla
Crear reporte de funcionario activo en formato portable,usuarios,pendientes,pdf
Exportar a mostrar los trámite,tramites,todos,pantalla
¿cómo puedo ver el reporte de flujos de trabajo terminados en excel?,tramites,completados,excel
exportar a en word los archivo,documentos,todos,word
Descargar reporte de casos hechos en hoja excel.,tramites,completados,excel
Exportar a visualizar los operadores,usuarios,todos,pantalla
Crear reporte de solicitantes en docx,clientes,todos,word
Crear reporte de requisitos en en pantalla,documentos,todos,pantalla
Lista fichero procesando en pantalla,documentos,pendientes,pantalla
Crear reporte de personal finalizados en hoja de cálculo,usuarios,completados,excel
Sácame un reporte de documentos demorados en en pdf,documentos,atrasados,pdf
exportar a pdf los fichero sin terminar.,documentos,pendientes,pdf
Listado documento total hoja de cálculo,documentos,todos,excel
Dame los ciudadanos en formato consola,clientes,todos,pantalla
En archivo pdf quiero el reporte de cliente sin terminar,clientes,pendientes,pdf
Por favor genera un reporte de archivos activos en pdf!,documentos,pendientes,pdf
Exportar a pdf los operadores,usuarios,todos,pdf
Generar un reporte de usuarios finales en documento pdf,clientes,todos,pdf
Lista empleado en pantalla,usuarios,todos,pantalla
Muéstrame un reporte de solicitudes en archivo excel,tramites,todos,excel
Muéstrame un reporte de trámites en proceso en ver,tramites,pendientes,pantalla
Podrías generarme un reporte de fichero en progreso en formato pdf,documentos,pendientes,pdf
Datos fichero con demora visualizar,documentos,atrasados,pantalla
Lista empleado procesando hoja de cálculo,usuarios,pendientes,excel
Necesito exportar a hoja de cálculo el listado de ciudadanos en curso,clientes,pendientes,excel
dame los solicitante en formato hoja excel,clientes,todos,excel
Exportar a visualizar los personal en proceso,usuarios,pendientes,pantalla
descargar reporte de política de negocio pendientes en hoja excel,politicas,pendientes,excel
Crear reporte de política en formato word,politicas,todos,word
Hazme un reporte de procesos activo en formato pdf,tramites,pendientes,pdf
obtener reporte de procesos lista completa en formato pdf,tramites,todos,pdf
Obtener reporte de políticas en formato pdf,politicas,todos,pdf
descargar reporte de papeles en mostrar!,documentos,todos,pantalla
Muéstrame un reporte de archivo en pdf,documentos,todos,pdf
POR FAVOR GENERA UN REPORTE DE FLUJOS DE TRABAJO VENCIDOS EN PDF!,tramites,atrasados,pdf
Necesito el reporte de archivo finalizado en mostrar,documentos,completados,pantalla
descargar reporte de casos activo en formato json,tramites,pendientes,pantalla
¿cómo puedo ver el reporte de procesos todos en archivo excel?,tramites,todos,excel
Muéstrame un reporte de reglas en curso en documento editable.,politicas,pendientes,word
Descargar reporte de papeles completados en hoja excel,documentos,completados,excel
POR FAVOR GENERA UN REPORTE DE OPERADORES TERMINADOS EN DOCUMENTO EDITABLE,usuarios,completados,word
Crear reporte de papeles atrasados en en excel,documentos,atrasados,excel
NECESITO EL REPORTE DE FLUJOS DE TRABAJO EN DOCUMENTO PDF,tramites,todos,pdf
En documento editable quiero el reporte de empleado fuera de plazo,usuarios,atrasados,word
Sácame un reporte de usuarios atrasado en excel,usuarios,atrasados,excel
Sácame un reporte de ciudadanos terminados en visualizar,clientes,completados,pantalla
descargar reporte de solicitantes en proceso en hoja excel!,clientes,pendientes,excel
Necesito el reporte de peticiones tardíos en pdf,tramites,atrasados,pdf
Descargar reporte de requisitos en visualizar,documentos,todos,pantalla
Descargar reporte de funcionarios todos en formato portable,usuarios,todos,pdf
Muéstrame un reporte de trámites en pantalla,tramites,todos,pantalla
Generar un reporte de operador en docx.,usuarios,todos,word
Exportar a hoja excel los reglas,politicas,todos,excel
¿es posible obtener los clientes tardíos en excel?,clientes,atrasados,excel
Necesito el reporte de solicitantes en consola,clientes,todos,pantalla
Generar un reporte de documentos en en pdf,documentos,todos,pdf
Descargar reporte de trámites en archivo pdf!,tramites,todos,pdf
Necesito exportar a en pdf el listado de empleados pendientes,usuarios,pendientes,pdf
Exportar a documento editable los operador,usuarios,todos,word
Lista diagramas de actividad archivo pdf,politicas,todos,pdf
Obtener reporte de ficheros en vista previa,documentos,todos,pantalla
Listado personas procesando formato excel,clientes,pendientes,excel
por favor genera un reporte de trámite vencidos en documento editable,tramites,atrasados,word
En pdf quiero el reporte de políticas en curso,politicas,pendientes,pdf
Crear reporte de funcionario en formato portable,usuarios,todos,pdf
Reporte papeles formato portable,documentos,todos,pdf
Por favor genera un reporte de procesos fuera de plazo en formato json,tramites,atrasados,pantalla
Reporte reglas pantalla!,politicas,todos,pantalla
Descargar en ver el reporte de personas completado,clientes,completados,pantalla
Necesito el reporte de casos en ver,tramites,todos,pantalla
Quisiera ver la lista de reglas de negocio todos y bajarla en archivo pdf,politicas,todos,pdf
Descargar reporte de reglas en pdf,politicas,todos,pdf
Muéstrame un reporte de diagramas de actividad en word,politicas,todos,word
Hazme un reporte de requisitos hechos en en pdf,documentos,completados,pdf
Muéstrame un reporte de solicitudes terminados en ver,tramites,completados,pantalla
reporte requisitos archivo excel,documentos,todos,excel
Necesito el reporte de adjuntos resueltos en mostrar,documentos,completados,pantalla
muéstrame un reporte de diagramas de actividad todos en archivo pdf,politicas,todos,pdf
Quiero exportar en excel las archivo aprobados,documentos,completados,excel
Descargar reporte de fichero tardíos en archivo word,documentos,atrasados,word
Crear reporte de operador finalizados en documento word,usuarios,completados,word
Obtener reporte de operadores en pdf,usuarios,todos,pdf
Generar un reporte de políticas de negocio procesando en archivo word,politicas,pendientes,word
Descargar reporte de flujos de trabajo cualquiera en documento editable,tramites,todos,word
Necesito exportar a formato json el listado de usuarios finales hechos,clientes,completados,pantalla
Reporte usuario completo documento word.,usuarios,todos,word
Necesito exportar a hoja de cálculo el listado de trámites en proceso,tramites,pendientes,excel
Reporte flujos de trabajo formato pdf,tramites,todos,pdf
Reporte documento cualquiera archivo excel!,documentos,todos,excel
Reporte procesos resueltos archivo excel,tramites,completados,excel
¿cómo puedo ver el reporte de operador global en pantalla?.,usuarios,todos,pantalla
¿ES POSIBLE OBTENER LOS EMPLEADO APROBADO EN VISTA PREVIA?,usuarios,completados,pantalla
Por favor genera un reporte de personal pendientes en en excel,usuarios,pendientes,excel
listado ciudadanos en curso hoja de cálculo,clientes,pendientes,excel
Crear reporte de requisitos demorados en formato pdf,documentos,atrasados,pdf
¿cómo puedo ver el reporte de solicitantes global en ver?,clientes,todos,pantalla
Reporte peticiones tardíos documento editable,tramites,atrasados,word
Generar un reporte de diagramas en archivo pdf,politicas,todos,pdf
Lista flujos de trabajo pendientes documento editable,tramites,pendientes,word
Dame los archivos todas en formato formato pdf,documentos,todos,pdf
Dame los empleado en curso en formato formato json,usuarios,pendientes,pantalla
Lista funcionarios formato word,usuarios,todos,word
Sácame un reporte de operadores fuera de plazo en en pdf,usuarios,atrasados,pdf
Dame los trámite en formato formato excel,tramites,todos,excel
Necesito exportar a mostrar el listado de solicitante vencidos,clientes,atrasados,pantalla
En en excel quiero el reporte de adjuntos tardíos!,documentos,atrasados,excel
Reporte diagramas de actividad demorado pdf.,politicas,atrasados,pdf
Quiero exportar en archivo word las política de negocio activo!,politicas,pendientes,word
Listado flujos de trabajo vencido formato json,tramites,atrasados,pantalla
necesito el reporte de empleado en documento word,usuarios,todos,word
Generar un reporte de flujos de trabajo cualquiera en excel,tramites,todos,excel
Crear reporte de funcionarios en documento pdf,usuarios,todos,pdf
Obtener reporte de políticas de negocio en hoja de cálculo,politicas,todos,excel
Obtener reporte de solicitante activos en word,clientes,pendientes,word
Lista funcionarios documento editable,usuarios,todos,word
Quiero un reporte de políticas tardíos en en excel,politicas,atrasados,excel
NECESITO EL REPORTE DE ARCHIVOS DEMORADOS EN EXCEL,documentos,atrasados,excel
CREAR REPORTE DE FLUJOS DE TRABAJO VENCIDOS EN CONSOLA,tramites,atrasados,pantalla
Obtener reporte de políticas todos en formato json,politicas,todos,pantalla
Obtener reporte de procesos activos en formato word,tramites,pendientes,word
¿cómo puedo ver el reporte de reglas activo en en excel?.,politicas,pendientes,excel
Sácame un reporte de requisitos demorados en pantalla,documentos,atrasados,pantalla
Necesito el reporte de solicitantes todos en formato portable,clientes,todos,pdf
Datos casos vencidos en pdf,tramites,atrasados,pdf
Descargar reporte de papeles resueltos en en pdf,documentos,completados,pdf
Descargar en archivo pdf el reporte de políticas de negocio completo,politicas,todos,pdf
Generar un reporte de diagramas de actividad sin filtros en hoja excel,politicas,todos,excel
sácame un reporte de diagramas con demora en visualizar,politicas,atrasados,pantalla
